id_geonames,total,lat,lon,id_wikidata
http://sws.geonames.org/2635167/,362170,54.6,-2.0,http://www.wikidata.org/entity/Q145
http://sws.geonames.org/6251999/,14102,56.0,-109.0,http://www.wikidata.org/entity/Q16
http://sws.geonames.org/2802361/,2931,50.641111111111,4.6680555555556,http://www.wikidata.org/entity/Q31
http://sws.geonames.org/3017382/,3750,47.0,2.0,http://www.wikidata.org/entity/Q142
http://sws.geonames.org/1269750/,10207,22.8,83.0,http://www.wikidata.org/entity/Q668
http://sws.geonames.org/2077456/,22278,-28.0,137.0,http://www.wikidata.org/entity/Q408
http://sws.geonames.org/2634895/,73359,52.35,-3.6333333333333,http://www.wikidata.org/entity/Q25
http://sws.geonames.org/2510769/,1637,40.2,-3.5,http://www.wikidata.org/entity/Q29
http://sws.geonames.org/2328926/,89,9.0,8.0,http://www.wikidata.org/entity/Q1033
http://sws.geonames.org/798544/,722,52.0,19.0,http://www.wikidata.org/entity/Q36
